# Program:featureCounts v2.0.2; Command:"/Applications/software_bioinformatics/subread-2.0.2-macOS-x86_64/bin/featureCounts" "-T" "8" "-p" "-a" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/real_yeast.gtf" "-o" "FeatureCounts.txt" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_0_Aligned.sortedByCoord.out.bam" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_1_Aligned.sortedByCoord.out.bam" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_2_Aligned.sortedByCoord.out.bam" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_3_Aligned.sortedByCoord.out.bam" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_4_Aligned.sortedByCoord.out.bam" "/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_5_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_0_Aligned.sortedByCoord.out.bam	/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_1_Aligned.sortedByCoord.out.bam	/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_2_Aligned.sortedByCoord.out.bam	/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_3_Aligned.sortedByCoord.out.bam	/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_4_Aligned.sortedByCoord.out.bam	/Users/rashmirao/Documents/Sidra_Externship/RNAseq/RNA_seq_analysis/raw_data/fastq/res_trimmomatic/fastp_results/fastas/alignments/output_5_Aligned.sortedByCoord.out.bam
YDR367W	chrIV;chrIV	1212848;1212979	1212877;1213614	+;+	666	1675	2372	1443	1128	1156	668
YDR085C	chrIV	614288	616150	-	1863	3334	4491	3103	2260	2303	2490
YDL097C	chrIV	285391	286695	-	1305	2945	3601	2680	1862	2041	2516
YDL139C	chrIV	211375	212046	-	672	876	1213	1037	556	764	563
YDR200C	chrIV	854279	856093	-	1815	1233	1432	1097	670	842	792
YDR191W	chrIV	842337	843449	+	1113	359	389	443	176	305	162
YDR451C	chrIV	1361120	1362181	-	1062	68	112	46	34	45	43
YDR469W	chrIV	1399015	1399542	+	528	432	836	846	284	505	199
YDR470C	chrIV	1399706	1401214	-	1509	1086	1136	853	574	745	670
YDR105C	chrIV	665349	666770	-	1422	2402	2737	1826	1351	1339	1510
YDR483W	chrIV	1421157	1422485	+	1329	5699	7122	5704	3591	4080	4272
YDL123W	chrIV	241418	241840	+	423	2517	2955	1946	1547	1490	2102
YDL199C	chrIV	101290	103353	-	2064	1589	1903	1220	1044	969	1316
YDR505C	chrIV	1456695	1459220	-	2526	5332	6360	4879	2671	3349	3146
YDL045W-A	chrIV	372248	372535	+	288	511	524	380	278	278	267
YDL045C	chrIV	372688	373608	-	921	972	1151	837	582	632	728
YDR361C	chrIV	1195412	1196263	-	852	830	1294	684	557	631	498
YDR406W-A	chrIV	1283799	1284044	+	246	11	11	4	0	4	14
YDR199W	chrIV	854175	854540	+	366	9	4	4	5	5	7
YDR266C	chrIV	1000104	1002023	-	1920	877	1408	977	810	618	730
YDL242W	chrIV	18959	19312	+	354	53	77	64	64	49	48
YDR002W	chrIV	453045	453650	+	606	1022	1673	994	512	906	419
YDR214W	chrIV	892875	893927	+	1053	6191	8006	5563	4164	4218	5253
YDR130C	chrIV	715747	716622	-	876	604	794	668	373	512	402
YDL176W	chrIV	142097	144223	+	2127	799	1058	705	450	475	578
YDR358W	chrIV	1190059	1191732	+	1674	5062	5556	3608	2851	2806	3389
YDR544C	chrIV	1525095	1525523	-	429	0	6	0	2	4	0
YDR460W	chrIV	1383811	1384776	+	966	825	1213	1112	560	699	630
snR84	chrIV	1492477	1493026	-	550	40	56	38	26	32	28
YDR034W-B	chrIV	521314	521469	+	156	1027	1436	894	551	721	518
YDL028C	chrIV	400997	403291	-	2295	1322	1541	1293	836	869	874
YDR061W	chrIV	574164	575783	+	1620	2170	2802	2487	1327	1556	1608
YDR060W	chrIV	570649	573726	+	3078	1215	2163	1528	1061	1068	1043
YDR169C-A	chrIV	794574	794723	-	150	52	85	52	48	26	47
YDR363W	chrIV	1199183	1200553	+	1371	1317	1508	1274	773	893	920
YDR422C	chrIV	1315326	1317773	-	2448	1659	2169	1574	1153	1071	1140
YDR119W	chrIV	688227	690533	+	2307	1052	1598	936	720	777	770
tR(ACG)D	chrIV	619969	620041	-	73	3	3	2	0	0	2
YDR097C	chrIV	640109	643837	-	3729	878	1258	850	688	740	599
YDR042C	chrIV	540601	541203	-	603	376	504	302	188	282	134
YDL160C	chrIV	170410	171930	-	1521	1266	1758	1072	790	784	899
YDR425W	chrIV	1320064	1321941	+	1878	2035	2412	2032	1142	1344	1264
snR13	chrIV	1402919	1403042	+	124	9	13	10	3	15	9
YDR228C	chrIV	921926	923806	-	1881	1221	1468	921	819	740	726
YDR319C	chrIV	1105003	1105827	-	825	706	931	632	434	445	513
YDR471W	chrIV;chrIV	1401770;1402185	1401800;1402564	+;+	411	626	1125	525	409	510	333
YDR089W	chrIV	622112	624721	+	2610	881	1368	1625	677	880	628
tD(GUC)D	chrIV	568964	569035	+	72	1	1	0	0	0	0
YDR275W	chrIV	1012252	1012959	+	708	1034	1887	1025	709	788	584
YDR043C	chrIV	542674	543369	-	696	2970	3657	1917	2117	1907	1443
YDR129C	chrIV;chrIV	713340;715359	715247;715379	-;-	1929	9145	9632	7239	5079	5310	5879
YDR136C	chrIV	727711	728283	-	573	26	20	17	31	21	23
YDL066W	chrIV	334835	336121	+	1287	1865	2420	1804	1224	1380	1610
YDR302W	chrIV	1067731	1068390	+	660	369	520	294	188	255	156
YDR239C	chrIV	941057	943420	-	2364	790	948	741	496	526	605
YDR539W	chrIV	1512094	1513605	+	1512	978	1240	1100	601	697	825
tK(CUU)D1	chrIV	1201750	1201822	+	73	0	0	0	0	0	0
YDL125C	chrIV;chrIV	239019;239510	239398;239606	-;-	477	4214	4628	2881	2113	2340	2496
YDR493W	chrIV	1436217	1436588	+	372	228	215	173	112	133	116
YDR101C	chrIV	655686	657467	-	1782	598	961	688	459	523	457
YDR182W-A	chrIV	829151	829354	+	204	18	21	10	14	21	18
YDR212W	chrIV	887232	888911	+	1680	1031	1547	1000	700	863	873
YDR476C	chrIV	1410453	1411127	-	675	1441	1750	1495	933	990	1129
YDL131W	chrIV	227393	228715	+	1323	1186	1615	1175	830	789	959
YDR458C	chrIV	1380055	1382046	-	1992	1560	2149	1596	948	1167	1054
YDR081C	chrIV	607304	610081	-	2778	1320	1773	1288	939	901	922
YDL071C	chrIV	330666	331040	-	375	79	54	62	39	40	48
YDR113C	chrIV	680496	681617	-	1122	239	327	308	204	189	197
YDR168W	chrIV	790328	791848	+	1521	5933	7060	5591	2784	4032	2963
YDR520C	chrIV	1481085	1483403	-	2319	549	749	572	364	430	298
YDR307W	chrIV	1075865	1077853	+	1989	984	1106	806	510	594	539
YDR265W	chrIV	998864	999877	+	1014	1032	1708	1175	692	883	657
YDL076C	chrIV	320668	321552	-	885	1081	1512	867	671	701	756
YDL006W	chrIV	439909	440754	+	846	454	769	501	360	407	319
YDL086W	chrIV	301413	302234	+	822	586	640	472	334	368	416
YDR238C	chrIV	937895	940816	-	2922	2641	3183	2038	1648	1620	1980
YDR077W	chrIV	600793	601809	+	1017	238584	329440	239901	164664	179309	222639
YDR381C-A	chrIV;chrIV	1238312;1238825	1238630;1238850	-;-	345	1564	2427	1422	862	1153	826
YDL023C	chrIV	411761	412081	-	321	17	17	9	8	14	5
YDL083C	chrIV;chrIV	306926;307766	307333;307789	-;-	432	240	445	229	221	225	181
YDR036C	chrIV	523211	524713	-	1503	2088	2095	1583	1174	1266	1237
YDR057W	chrIV	565927	567555	+	1629	1492	1653	1374	829	956	893
YDR513W	chrIV	1471017	1471448	+	432	2021	2119	1505	870	1067	1064
YDR487C	chrIV	1428354	1428980	-	627	2606	3842	2132	1534	1890	1950
YDR066C	chrIV	581908	582498	-	591	453	565	414	164	290	182
YDR352W	chrIV	1181801	1182754	+	954	357	538	343	210	297	250
YDR278C	chrIV	1017001	1017318	-	318	6	17	19	5	8	4
YDR079C-A	chrIV	603593	603811	-	219	145	253	134	101	111	110
YDR204W	chrIV	858137	859144	+	1008	3296	3915	2557	1951	2009	2348
YDL247W-A	chrIV	3762	3836	+	75	0	0	0	0	0	0
YDL024C	chrIV	408451	409857	-	1407	2157	2528	2304	1084	1568	1302
tA(AGC)D	chrIV	410379	410451	+	73	1	0	0	0	0	0
YDR109C	chrIV	673520	675667	-	2148	1628	2107	1612	1015	1102	1084
YDR466W	chrIV	1395121	1397817	+	2697	2540	3182	2210	1592	1570	2055
YDR427W	chrIV	1322205	1323386	+	1182	1255	1712	1103	788	803	844
YDL044C	chrIV	373967	375289	-	1323	426	601	408	347	276	328
YDL079C	chrIV;chrIV	312951;314337	314044;314748	-;-	1506	856	1476	820	553	713	707
YDR193W	chrIV	844554	844952	+	399	2	8	1	0	0	2
YDR305C	chrIV;chrIV	1072746;1073402	1073312;1073488	-;-	654	698	899	461	388	374	468
YDR377W	chrIV	1228611	1228916	+	306	1482	2555	1351	711	1150	784
YDR219C	chrIV	905455	906852	-	1398	902	1072	675	561	575	573
YDR416W	chrIV	1298432	1301011	+	2580	828	1119	791	536	590	468
YDR365C	chrIV	1204497	1206383	-	1887	1030	1672	1111	788	940	742
YDL233W	chrIV	36797	38173	+	1377	941	1067	748	659	671	686
YDR287W	chrIV	1035995	1036873	+	879	1557	2303	1638	1126	1190	1303
YDR448W	chrIV	1356065	1357369	+	1305	504	655	694	367	411	279
YDR180W	chrIV	821295	825776	+	4482	182	250	181	124	133	115
tF(GAA)D	chrIV;chrIV	1095370;1095425	1095405;1095461	-;-	73	0	0	0	1	0	0
tT(AGU)D	chrIV	434264	434336	-	73	2	1	0	0	0	0
YDR294C	chrIV	1050459	1052228	-	1770	1942	2160	1490	1139	1207	1366
YDR198C	chrIV	852533	853972	-	1440	458	554	526	255	334	293
YDL163W	chrIV	166956	167258	+	303	0	0	0	0	0	0
YDL119C	chrIV	246689	247612	-	924	363	458	272	199	258	199
YDR501W	chrIV	1451353	1452918	+	1566	105	207	149	108	100	97
YDL214C	chrIV	74446	76545	-	2100	4010	5493	3059	2427	2323	3051
YDR264C	chrIV	996029	998323	-	2295	2458	3461	2493	1725	1867	2115
YDR343C	chrIV	1159608	1161320	-	1713	51	112	99	55	54	51
YDR373W	chrIV	1222759	1223331	+	573	1585	1943	1623	632	1129	572
YDR354W	chrIV	1184747	1185889	+	1143	244	452	264	142	170	261
YDR246W	chrIV	954288	954947	+	660	2976	2788	2885	1879	1800	1702
YDR428C	chrIV	1323454	1324239	-	786	116	160	128	64	81	89
YDR157W	chrIV	769931	770332	+	402	43	20	20	15	13	24
YDR316W	chrIV	1093763	1095178	+	1416	663	978	699	535	567	467
YDL142C	chrIV	201719	202570	-	852	1424	1475	877	742	782	867
YDR253C	chrIV	963990	964565	-	576	545	650	535	357	304	363
YDL112W	chrIV	258915	263225	+	4311	983	1193	784	565	600	632
YDR545W	chrIV	1526321	1531711	+	5391	0	1	0	0	0	1
YDL187C	chrIV	125509	125838	-	330	0	2	0	2	1	0
YDL138W	chrIV	213351	215642	+	2292	751	859	754	439	471	452
YDR528W	chrIV	1494586	1495857	+	1272	191	244	209	141	164	119
YDR284C	chrIV	1030550	1031419	-	870	974	1199	698	542	584	547
YDR050C	chrIV	555726	556472	-	747	1875	3056	2991	1217	1872	1446
YDL010W	chrIV	432330	433025	+	696	501	552	573	353	393	277
YDL065C	chrIV	336249	337277	-	1029	2154	2486	2814	1346	1595	1337
YDR349C	chrIV	1172386	1174176	-	1791	1023	1496	1299	855	907	856
YDL098C	chrIV	284581	285165	-	585	498	682	533	284	420	239
YDL234C	chrIV	34237	36477	-	2241	9222	9394	8129	5880	6527	6071
YDR118W	chrIV	685882	687840	+	1959	380	598	368	290	283	232
YDR118W-A	chrIV	687768	687884	+	117	5	5	2	2	5	6
YDR159W	chrIV	771877	775782	+	3906	1347	1688	1409	1022	996	983
YDR111C	chrIV	678241	679764	-	1524	1789	2455	1631	1151	1198	1057
YDR128W	chrIV	709549	712995	+	3447	1480	2082	1508	1080	1047	1229
YDL034W	chrIV	391783	392127	+	345	12	7	5	3	8	6
YDR065W	chrIV	580687	581784	+	1098	567	848	660	436	452	314
YDL004W	chrIV	443029	443511	+	483	2156	2826	2255	1354	1569	1511
YDR024W	chrIV	491017	491502	+	486	20	12	5	3	0	12
YDL171C	chrIV	149203	155640	-	6438	3716	5591	3557	2374	2800	3051
YDR083W	chrIV	612073	613251	+	1179	1279	2033	1409	1002	1138	865
YDR457W	chrIV	1369790	1379596	+	9807	4572	5861	3571	2846	2631	3748
YDR014W	chrIV	474046	475989	+	1944	826	1093	999	573	667	489
YDR206W	chrIV	862054	864708	+	2655	2103	2938	2168	1364	1502	1378
YDR478W	chrIV	1414575	1415171	+	597	324	533	630	179	363	165
YDR169C	chrIV	792348	793889	-	1542	2626	3414	2326	1756	1797	2041
YDR115W	chrIV	682175	682492	+	318	100	93	79	67	77	53
YDL159W-A	chrIV	172182	172313	+	132	14	22	13	13	13	25
YDL232W	chrIV	38487	38597	+	111	45	85	58	26	31	25
YDL240C-A	chrIV	22471	22608	-	138	1	2	0	0	0	2
tE(CUC)D	chrIV	1017207	1017278	-	72	0	0	0	0	0	0
YDL152W	chrIV	182822	183187	+	366	1	2	2	1	1	0
YDR432W	chrIV	1328783	1330027	+	1245	3963	5681	5350	3415	3599	3508
YDL022C-A	chrIV	409808	410056	-	249	50	68	39	29	19	50
YDL114W-A	chrIV	254935	255048	+	114	48	33	16	28	14	23
YDR410C	chrIV	1292372	1293091	-	720	215	253	170	114	154	125
YDR464C-A	chrIV	1392492	1392680	-	189	0	0	0	0	0	0
YDL072C	chrIV	329836	330447	-	612	3266	4058	2550	2000	2318	2213
YDR053W	chrIV	560249	560644	+	396	6	4	6	3	7	1
YDL012C	chrIV;chrIV	431108;431473	431386;431517	-;-	324	1225	1413	2485	876	1510	728
YDR482C	chrIV	1420431	1420838	-	408	856	1206	982	740	717	582
YDL070W	chrIV	331024	332940	+	1917	3555	5603	4162	2110	3303	2207
YDR064W	chrIV;chrIV	579458;580018	579478;580452	+;+	456	790	1528	835	730	899	590
YDL135C	chrIV	218680	219288	-	609	641	875	618	356	453	356
YDL077C	chrIV	316971	320120	-	3150	1018	1158	855	644	626	641
YDR354C-A	chrIV	1185139	1185282	-	144	0	0	0	0	0	0
YDL033C	chrIV	392659	393912	-	1254	253	395	282	171	165	215
YDL031W	chrIV	394217	397204	+	2988	1670	2300	1673	1122	1259	1252
YDR398W	chrIV	1267471	1269402	+	1932	646	1242	973	546	692	518
YDR326C	chrIV	1120609	1124925	-	4317	1412	1537	1591	890	1076	801
YDL052C	chrIV	362672	363583	-	912	496	632	453	283	314	337
YDR536W	chrIV	1508005	1509714	+	1710	43682	49540	21456	25739	18692	27992
YDR397C	chrIV;chrIV	1266366;1266862	1266769;1266898	-;-	441	66	158	65	65	65	39
YDL116W	chrIV	251566	253746	+	2181	1519	1903	1369	892	970	1013
YDR028C	chrIV	497835	500879	-	3045	4874	6389	4683	3286	3406	3661
YDL007W	chrIV	438047	439360	+	1314	6453	8313	5075	3612	4058	4347
YDR236C	chrIV	935236	935892	-	657	966	1314	1127	525	740	464
YDR011W	chrIV	465919	470424	+	4506	7917	10712	9616	5027	5974	6403
YDR155C	chrIV	768512	769000	-	489	5732	7703	6687	3445	4695	4517
YDR414C	chrIV	1295598	1296686	-	1089	633	958	662	318	478	307
YDR026C	chrIV	492556	494268	-	1713	924	1363	841	673	629	676
YDL073W	chrIV	326613	329567	+	2955	783	993	689	500	534	449
tY(GUA)D	chrIV;chrIV	946312;946365	946350;946400	+;+	75	7	6	2	6	0	0
YDL115C	chrIV;chrIV	253995;255045	254974;255126	-;-	1062	1258	1934	1308	825	854	964
YDL145C	chrIV	194571	198176	-	3606	2878	3411	2450	1840	1836	2384
YDR203W	chrIV	857682	857999	+	318	1	4	0	0	1	1
YDL104C	chrIV	273653	274876	-	1224	174	235	222	132	177	115
YDL149W	chrIV	184925	187918	+	2994	1973	2771	1806	1278	1372	1446
YDR231C	chrIV	926293	926910	-	618	879	1178	704	520	503	556
YDR045C	chrIV	547978	548310	-	333	96	185	69	66	86	62
YDL075W	chrIV;chrIV	322226;322704	322282;322988	+;+	342	583	923	541	387	433	423
YDR415C	chrIV	1297037	1298161	-	1125	635	777	571	355	335	371
YDR339C	chrIV	1149951	1150520	-	570	831	1192	873	469	762	573
YDL213C	chrIV	77289	77966	-	678	837	1282	997	677	729	614
YDR096W	chrIV	637139	639823	+	2685	5092	6035	4312	3139	3238	3607
YDL019C	chrIV	417663	421514	-	3852	4747	5424	3799	2652	2883	3184
YDL022W	chrIV	411825	413000	+	1176	32686	36216	33934	18237	22117	19787
YDR413C	chrIV	1294836	1295411	-	576	2	1	2	1	1	0
YDR391C	chrIV	1257358	1258056	-	699	2032	2327	1666	1266	1313	1204
YDR091C	chrIV	626708	628534	-	1827	674	1043	584	495	463	509
YDR240C	chrIV	943674	945152	-	1479	459	694	496	349	327	286
YDL244W	chrIV	16204	17226	+	1023	98	108	67	45	74	49
YDR179C	chrIV	818708	819196	-	489	111	236	246	68	141	63
YDL165W	chrIV	164290	164865	+	576	352	507	401	230	280	261
YDL140C	chrIV	205360	210561	-	5202	6820	8612	5400	4387	4191	5586
YDR120C	chrIV	691549	693261	-	1713	949	1271	879	653	613	658
YDR003W	chrIV	454122	454754	+	633	3345	3767	3228	1778	2192	2185
YDR499W	chrIV	1447830	1450073	+	2244	377	553	504	286	324	267
YDR166C	chrIV	786306	789221	-	2916	1933	2342	1826	1256	1295	1319
YDL092W	chrIV	292781	293221	+	441	705	912	735	484	542	419
YDL041W	chrIV	378102	378455	+	354	0	0	2	2	0	2
YDL241W	chrIV	20635	21006	+	372	11	32	20	10	24	6
YDL082W	chrIV;chrIV	308424;308793	308427;309388	+;+	600	1186	2070	1306	1016	1093	1109
YDR277C	chrIV	1014401	1015702	-	1302	4135	6033	5637	2318	3424	3692
YDR291W	chrIV	1039728	1042961	+	3234	1229	1601	1134	826	888	883
YDR475C	chrIV	1407464	1410094	-	2631	3923	4361	3657	2386	2586	2839
YDR244W	chrIV	950563	952401	+	1839	1894	2564	1871	1288	1209	1252
YDR407C	chrIV	1284069	1287938	-	3870	947	1070	844	642	547	593
YDR382W	chrIV	1239492	1239824	+	333	526	1054	643	523	604	531
YDR102C	chrIV	657648	657980	-	333	25	30	14	5	20	13
YDL188C	chrIV	123865	124998	-	1134	2226	2622	1773	1347	1339	1581
YDR405W	chrIV	1277646	1278437	+	792	1059	1535	1075	745	777	815
YDR443C	chrIV	1345676	1349938	-	4263	1391	1763	1206	963	899	1143
YDR059C	chrIV;chrIV	569234;569724	569633;569770	-;-	447	2458	2777	2085	1557	1640	1788
YDR144C	chrIV	744311	746101	-	1791	130	224	128	144	130	132
YDL157C	chrIV	174232	174588	-	357	134	283	123	86	98	93
YDL058W	chrIV	345665	351037	+	5373	1653	2281	1436	1100	1090	1320
YDL096C	chrIV	286998	287324	-	327	7	9	1	6	5	5
YDL155W	chrIV	176773	178056	+	1284	982	993	710	626	517	592
YDR147W	chrIV	751631	753235	+	1605	857	925	729	562	637	494
YDL191W	chrIV;chrIV	117664;118158	117666;118517	+;+	363	218	343	189	173	152	155
YDL128W	chrIV	232652	233887	+	1236	7898	9205	6135	4338	4425	5733
YDR310C	chrIV	1081128	1084316	-	3189	1187	1951	1175	914	942	1096
YDL160C-A	chrIV	169366	169608	-	243	214	351	213	117	203	91
YDR127W	chrIV	704484	709250	+	4767	1914	2774	2188	1273	1342	2570
YDR497C	chrIV	1443713	1445467	-	1755	3128	4864	3663	1704	2896	2330
YDL162C	chrIV	167359	167715	-	357	15	16	11	11	9	10
tS(AGA)D3	chrIV	1305630	1305712	+	83	0	0	0	0	0	0
YDR201W	chrIV	856317	856814	+	498	403	527	551	182	388	191
YDR163W	chrIV	781423	781950	+	528	1160	1947	1758	851	1181	756
YDL146W	chrIV	192750	194225	+	1476	283	345	246	194	189	192
YDR363W-A	chrIV	1202128	1202397	+	270	2807	4660	3366	1609	2314	1415
YDL221W	chrIV	62011	62562	+	552	73	110	73	70	63	49
YDL089W	chrIV	296820	298274	+	1455	670	703	526	345	347	385
YDR385W	chrIV	1243230	1245758	+	2529	548	889	532	465	446	529
YDR331W	chrIV	1129588	1130823	+	1236	345	459	466	224	298	205
YDR196C	chrIV	850274	850999	-	726	1724	2213	1488	869	1144	1003
YDR116C	chrIV	682724	683581	-	858	541	688	467	355	452	403
YDR001C	chrIV	450220	452475	-	2256	11772	13311	9089	6827	7023	9117
YDL230W	chrIV	42700	43707	+	1008	1400	1625	1175	784	921	852
YDR160W	chrIV	776163	778721	+	2559	1848	2273	1567	1068	1072	1145
YDR123C	chrIV	698554	699468	-	915	999	1634	1280	769	904	667
YDR322W	chrIV	1110589	1111692	+	1104	430	432	348	238	237	274
YDR040C	chrIV	535192	538467	-	3276	4295	6432	3734	3029	3089	3070
YDR025W	chrIV;chrIV	491515;491899	491559;492324	+;+	471	781	1217	791	583	642	606
YDR046C	chrIV	548762	550576	-	1815	2906	3564	2287	1729	1748	2519
YDL057W	chrIV	351434	352420	+	987	1135	1483	1002	658	835	689
YDL248W	chrIV	1802	2953	+	1152	80	98	52	56	58	68
YDR008C	chrIV	462252	462602	-	351	2	1	1	0	1	2
